Identifiant;Titre;Date;Auteur;PaysENG;Source;Issn;Vl;Num;Pagination;Langue;Resume;Thematique;TNP;SousThematique;STNP;MotCle;Url
PASCAL/FRANCIS:13-0113434;"Télévision et changement social en Afrique de l'Ouest postcoloniale. Étude de cas : la réception des telenovelas au Sénégal; Television and Social Change in Post-Colonial West Africa : A Case-Study about the Reception of Telenovelas in Senegal; Televisión y cambio social en África occidental post-colonial : Estudio de caso : la recepción de las telenovelas en Senegal";2012;WERNER (Jean-François);FRANCE;Anthropologie et sociétés;1703-7921;36;1-2;95-113;Français;<Resume>This paper is based on qualitative ethnographical data collected during a study about how Senegale people, especially women, receive and appropriate Latin-American televisual programmes called telenovelas. The fieldwork was conducted in 2002 in the surburbs of Dakar, the capital of Senegal. The reception of telenovelas occurs inside the households, thus reordering the balance between public and private spheres and obliging the spectators to re-organize their time schedules. As a result, the appropriation of telenovelas appears to be a collective and active process through which women pick up symbolic resources to make things change gradually in the realm of genders and parents-children relationships. Furthermore, in order to get over the methodological bias introduced by a narrow micro-sociological approach, the author describes how the construction of local telenovelas publics is a socio-historical process and why television images are indebted with a power of truth by spectators. In conclusion, the author admits that it is impossible to evaluate precisely the role television might be playing in social change because of the muliple factors which take place between the televisual products and the spectators. In order to find a way out of this methodological deadlock, he proposes to investigate what people do with televisual programmes rather than the opposite. In conclusion, he calls for the development of an Anthropology of the visual able to merge the study of the conditions of production of visual media with that of the social construction of collective imaginations.</Resume><Resume>Cet article traite de la manière dont des femmes africaines reçoivent et s'approprient des séries télévisées, dites telenovelas, produites en Amérique latine. L'enquête ethnographique s'est déroulée dans la banlieue de Dakar durant le premier semestre de l'année 2002 et a concerné un groupe réduit de femmes, d'enfants et d'hommes. Elle a mis en évidence que la réception des telenovelas se déroule à la maison, devant un public composé majoritairement de femmes et d'enfants, et qu'elle s'accompagne d'une réorganisation de l'espace-temps domestique. L'auteur avance que les ressources symboliques résultant de l'appropriation active et collective des telenovelas sont utilisées par les femmes pour modifier discrètement les relations entre genres et entre générations. Un résultat qui reste difficile à prouver étant donné la multiplicité et la diversité des facteurs, tant collectifs qu'individuels, qui influent sur la réception des émissions télévisées. De plus, en se focalisant sur le moment particulier de la réception, on passe à côté du fait que les publics sont construits et leur lecture des telenovelas orientée. En conclusion, l'article suggère de dépasser ce biais méthodologique en combinant le temps court de l'approche ethnographique et le temps long de l'approche historique, en associant l'étude des conditions de production des images avec celle de la construction sociale des publics et des imaginaires collectifs et individuels.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;ETHNOLOGY;Ethnology;"Analyse d'impact; Appropriation; Changement social; Communication; Enquête; Ethnographie; Femme; Interprétation; Message; Pratique; Réception; Réception culturelle; Série télévisée; Télévision; Afrique Occidentale; Amérique latine; Dakar; Sénégal";http://dx.doi.org/10.7202/1011719ar
PASCAL/FRANCIS:13-0113433;"Le changement à travers le mélodrame : Femmes, Kuqing xi et articulation des affects dans une télésérie chinoise; Melodrama for Change : Women, Kuqing xi and the Affective Articulation of Chinese TV Drama; El cambio a través del melodrama : Mujeres, Kuqin xi y la articulación de los efectos en una teleserie china";2012;KONG (Shuyu);CANADA;Anthropologie et sociétés;1703-7921;36;1-2;115-138;Français;"<Resume>This paper uses recent TV serial dramas about laid-off female workers as an example to demonstrate the often neglected affective dimension of Chinese TV drama and its ambivalent televisual discourse on the economic reforms and the new dominance of capital in Chinese society. Based mainly on close generic analysis of settings, characters, plotlines, and audio-visual language, supplemented by audiences' viewing experiences, I explore the affective strategies and emotional meanings of these dramas, in particular, the social implications and emotional impact of these melodramatic narratives in the context of the public discourse on retrenchment (xiagang), which has been one of the most divisive and painful consequences of China's economic reforms. I argue that the plight and potential salvation of laid-off women, and by extension, of other less privileged social groups, has been used as a powerfully affective dramatic form by various social agents with their own agendas. Such agendas include promoting the government's re-employment project ; voicing social discontent and emotional distress ; and attempting to make sense of the enormous changes taking place in China today.</Resume><Resume>Cet article examine quelques téléséries récentes prenant pour thème les travailleuses licenciées en Chine pour faire ressortir la dimension affective, souvent négligée, qui y est véhiculée ainsi que l'ambivalence du discours télévisuel à propos des réformes économiques et de la nouvelle dominance capitaliste dans la société chinoise. En s'appuyant sur une ethnographie des décors, des personnages, de l'intrigue et du langage audiovisuel, ainsi que des expériences de visionnement par les téléspectateurs, il explore les stratégies affectives et émotionnelles mises de l'avant et, plus particulièrement, les implications sociales et émotionnelles des récits de ces mélodrames dans le contexte du discours public sur les coupures en emploi (xiagang). Parmi les conséquences des réformes économiques chinoises, ce sont ces coupures qui ont semé le plus de discorde et causé le plus de souffrances. L'article montre que le sort et le salut potentiel de ces femmes licenciées et, par extension, ceux d'autres groupes sociaux parmi les moins privilégiés, ont été instrumentalisés dans un format dramatique mobilisant des affects puissants et ce, par divers acteurs sociaux poursuivant leurs propres objectifs. Parmi ceux-ci figurent la promotion du projet gouvernemental de retour à l'emploi, l'expression du mécontentement social et de la détresse émotionnelle, ainsi que la tentative de faire sens des énormes changements sociaux qui sont survenus dans la Chine contemporaine.</Resume>";SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;ETHNOLOGY;Ethnology;"Affect; Ambivalence; Changement; Discours; Emotion; Femme; Identification; Licenciement; Média; Mélodrame; Représentation; Série télévisée; Asie orientale; Chine";http://dx.doi.org/10.7202/1011720ar
PASCAL/FRANCIS:13-0113428;"Découvrir les séries télé de l'Asie de l'Est en France : Le drama au coeur d'une contre-culture féminine à l'ère numérique; Discovering East Asian TV Series in France : Drama at the Centre of a Female Counter-Culture in Digital Age; Descubrir las series de televisión de Asia oriental en Francia : El drama en el centro de una contracultura femenina en la era digital";2012;HONG-MERCIER (Seok-Kyeong);FRANCE;Anthropologie et sociétés;1703-7921;36;1-2;201-222;Français;<Resume>In France, the generation fed of Jap'Anime in the eighties became the first readership of Mangas during the nineties. Some of them have become in the last ten years Asian Drama fans. Digital technology and globalization allowed a worldwide organized community of drama fans, constructed on an effective division of collaborative work at a global scale. Cyber ethnography is made on a forum, observing the way South Korean romantic comedy dramas ? still a mysterious cultural object for the French fans ¿ are appropriated. As omnivorous consumers of heterogeneous cultural content as well as intercultural elites of globalizing world, the French drama fans, most of them females, are challenging the cultural hegemony of the American TV series. They claim autonomy in their emotions and cultural tastes against the patriarchal pressure and norms. The pursuit of a specifically female pleasure has a Queer reading potential. French female fans' reception of Asian drama can be understood in terms of a female counter-culture in a digital and global age.</Resume><Resume>En France, la génération abreuvée d'anime japonais dans les années 1980 est devenue le premier lectorat des mangas durant les années 1990. Certains amateurs, au cours des dix dernières années, se sont mués en fans de dramas asiatiques. L'avènement du numérique et la globalisation ont permis l'émergence d'une véritable communauté de fans, organisée à l'échelle mondiale, autour d'une production collaborative et d'une division des tâches. Nous avons pu observer l'appropriation du « mystérieux » contenu culturel de l'Asie de l'Est, notamment des comédies romantiques sud-coréennes, sur un forum dédié, en effectuant une cyber-ethnographie. Consommateurs omnivores et élites interculturelles du monde globalisant, les fans français de dramas, essentiellement des femmes, défient l'hégémonie culturelle des séries américaines. Ce faisant, elles revendiquent leur autonomie émotionnelle et la spécificité de leurs goûts culturels en opposition aux normes patriarcales. Cette quête d'un plaisir spécifiquement féminin peut donner lieu à une lecture queer. Les pratiques de réception des dramas asiatiques par ces fans français peuvent être appréhendées comme une contre-culture féminine à l'ère numérique et globale.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;ETHNOLOGY;Ethnology;"Autonomie; Contre culture; Désir féminin; Enquête; Ethnographie; Féminin; Globalisation; Internet; Plaisir; Réception; Réception culturelle; Série télévisée; Europe occidentale; France; République de Corée";http://dx.doi.org/10.7202/1011724ar
PASCAL/FRANCIS:13-0113417;"Transformations télévisuelles : Réflexions au sujet de l'impact des telenovelas brésiliennes sur la vie quotidienne des téléspectateurs; Televised Transformations : Some Reflections on the Impact of Brazilian Telenovelas on Viewer's Everyday Lives; Transformaciones televisuales : Reflexiones sobre el impacto de las telenovelas brasileñas sobre la vida cotidiana de los telespectadores";2012;MACHADO-BORGES (Thaïs);SWEDEN;Anthropologie et sociétés;1703-7921;36;1-2;73-94;Français;<Resume>Brazil is a country with one of the largest television audiences in the world. Ninety percent of the households in the country have at least one television set. What is broadcast on Brazilian television ? Soccer, of course is shown more or less continually. News and entertainment programs also make up an important share of television's programming. But one of the most broadcast ¿ and most watched ¿ types of program is the telenovela. Telenovelas are saturated with images and narratives of characters who, in order to achieve love, happiness, and social mobility, engage in the transformation of themselves and their bodies. These transformations affect personal relationships, personal assets and social hierarchies of gender, sexuality, race, and class. Based on several periods of fieldwork in the state of Minas Gerais, southeastern Brazil, this article summarizes and presents some of the main findings of a larger research project about Brazilian telenovelas. The article briefly introduces this genre and presents a new take on their reception, moving the focus away from a study of viewers' interpretations of telenovelas' plots, to an analysis of viewers' everyday engagement with the telenovela flow : messages, products, stories and desires that intercept with telenovelas' plots and circulate throughout Brazilian society. It then takes a closer look at the way the telenovela flow relates to Brazilian society and how Brazilians relate to this flow : What impact does it have on viewers ? Does the telenovela flow work as a guideline, shaping how viewers think and act ?</Resume><Resume>Le Brésil est le pays où la télévision dispose de la plus grande audience du monde, 90 % des ménages du pays possédant au moins un téléviseur. Que diffuse la télévision brésilienne ? Du football, bien sûr, quasiment en continu. Les informations et les shows télévisés constituent également une part importante de la programmation télévisuelle. Mais l'un des types de programmes les plus diffusés ¿ et les plus regardés ¿ est la telenovela. Les telenovelas sont surchargées d'images et de récits de personnages qui, afin de parvenir à l'amour, au bonheur et à l'ascension sociale, se mettent à se transformer eux-mêmes, ainsi que leur corps. Ces transformations influent sur les relations, les avoirs personnels, ainsi que sur les hiérarchies liés au genre, à la sexualité, à la race et à la classe. En se fondant sur plusieurs enquêtes de terrain dans l'État du Minas Gerais, au sud-est du Brésil, cet article présente en les synthétisant quelques-uns des principaux résultats d'un projet de recherche plus étendu sur les telenovelas brésiliennes. L'article présente brièvement ce genre télévisuel ainsi qu'une nouvelle manière d'aborder sa réception, en passant d'une étude des interprétations des intrigues des telenovelas par les spectateurs à une analyse des interactions quotidiennes des spectateurs avec les telenovelas en flux continu : les messages, les produits de consommation, les histoires et les désirs qui recoupent les intrigues des telenovelas et qui circulent dans la société brésilienne. Il examine enfin de plus près la manière dont le flux des telenovelas est représentatif de la société brésilienne et comment les Brésiliens réagissent à ce flux : quel impact a-t-il sur les téléspectateurs ? Sert-il de modèle aux téléspectateurs pour penser et agir ?</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;ETHNOLOGY;Ethnology;"Analyse d'impact; Appropriation; Classe sociale; Consommation; Corps; Feuilleton télévisé; Flux; Genre; Interprétation; Recherche sur le terrain; Réception culturelle; Série télévisée; Transformation; Télévision; Vie quotidienne; Amérique du Sud; Brésil; Minas Gerais";http://dx.doi.org/10.7202/1011718ar
PASCAL/FRANCIS:13-0103987;Vers un résumé automatique de séries télévisées basé sur une recherche multimodale d'histoires;2012;"BREDIN (Hervé); ERCOLESSI (Philippe); MOUYSSET (Sandrine); SENAC (Christine)";FRANCE;Document numérique : (Paris);1279-5127;15;2;41-66;Français;<Resume>Les séries télévisées récentes multiplient les personnages principaux, développant ainsi des intrigues complexes présentées à travers plusieurs histoires entremêlées. Nous proposons une approche de détection automatique de ces histoires afin de générer un résumé vidéo par extraction de scènes représentatives de ces dernières, et nous présentons un outil de visualisation rapide des histoires et du résumé obtenus. A partir d'une segmentation des épisodes en scènes (présentant une unité de temps, d'action et de contenu sémantique), les histoires s'obtiennent en regroupant les scènes, non nécessairement contiguës, qui présentent une similarité sémantique forte. Les modalités utilisées sont visuelles, audio et textuelles. Nos expérimentations sont menées sur deux séries télévisées de formats différents.</Resume>;SCIENCES AND TECHNIQUES OF GENERAL USE;Sciences and Techniques of General Use;INFORMATION SCIENCE. DOCUMENTATION;Information Science. Documentation;"Classification; Détection; Recherche; Résumé; Traitement automatique; Télévision";http://dx.doi.org/10.3166/DN.15.2.41-66
PASCAL/FRANCIS:13-0092833;From informal resource usage to incidental language acquisition: language uptake from online television viewing in English;2012;"KUSYK (Meryl); SOCKETT (Geoffrey)";FRANCE;A. sp. Anglais de spécialité;1246-8185;;62;45-65;Français;<Resume>La recherche dans le domaine de l'apprentissage informel de l'anglais en ligne a mis en évidence le fait que ce phénomène est courant chez les apprenants d'anglais du secteur Lansad dans les universités françaises. La langue à laquelle ces apprenants sont exposés lors de visionnages de séries télévisées en version originale par le biais du streaming ou du téléchargement a aussi été caractérisée et quantifiée. Dans la présente étude, des apprenants ont d'abord répondu à un questionnaire pour déterminer la fréquence à laquelle ils visionnent de tels contenus. Ils ont ensuite participé à un test dans lequel ils se sont servis d'une échelle de connaissance de vocabulaire pour indiquer leur degré de connaissance d'une série de phrases incorporant les blocs de quatre mots les plus fréquents dans les dialogues de ces séries. Les résultats indiquent un écart significatif dans les scores à ce test entre ceux qui visionnent fréquemment ces séries, et ceux qui ne les visionnent qu'occasionnellement.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;LINGUISTICS;Linguistics;"Acquisition d'une langue seconde; Anglais Langue étrangère; Apprentissage des langues; Apprentissage incident; Aptitude linguistique; Autoévaluation; Etudiant; Français Langue maternelle; Internet; Loisir; Milieu universitaire; Psycholinguistique; Série télévisée; Transmission en continu; Télévision; Vocabulaire";http://dx.doi.org/10.4000/asp.3104
PASCAL/FRANCIS:13-0090946;Cultural translation, global television studies, and the circulation of telenovelas in the United States;2012;CONWAY (Kyle);UNITED STATES;International journal of cultural studies : (Print);1367-8779;15;6;583-598;Anglais;<Resume>'Cultural translation' is a metaphor whose currency is increasing in the broad field of cultural studies, but it has largely been neglected in narrower field of television studies. This article brings cultural translation to television studies by proposing an approach to describe how the industrial logics that govern the global circulation of programs also shape them as texts. It then uses this approach to explain the circulation of telenovelas in the English-language market in the United States, paying special attention to Ugly Betty, adapted from the Colombian program Yo soy Betty, la fea.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Emission télévisée; Impérialisme culturel; Société globale; Traduction culturelle; Etats-Unis";http://dx.doi.org/10.1177/1367877911422291
PASCAL/FRANCIS:13-0080537;The occupational roles of television fiction characters in Spain: distinguishing traits in gender representation;2012;"FEDELE (Maddalena); GARCIA-MUNOZ (Núria); GOMEZ-DIAZ (Xiana)";SPAIN;Comunicación y sociedad;0214-0039;25;1;349-366;Anglais;<Resume>This article presents the main findings of a study on the portrayal of occupational roles in fiction series broadcast by the general nationwide channels during the 2009/2010 season in Spain. Fiction is one of the most highly appreciated genres amongst audiences, thus the study of fiction characters allows us to identify the models and roles portrayed and transmitted by television. The gender-related variable shows that the representation of male and female occupational roles in television fiction remains unequal, although there has been some improvement in relation to previous studies.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Différence selon le sexe; Emission télévisée; Fiction; Genre; Série télévisée; Espagne";http://www.unav.es/fcom/communication-society/en/resumen.php?art_id=416
PASCAL/FRANCIS:13-0078720;Constructing 'nerdiness': Characterisation in The Big Bang Theory;2012;BEDNAREK (Monika);AUSTRALIA;Multilingua;0167-8507;31;2-3;199-229;Anglais;<Resume>This paper analyses the linguistic construction of the televisual character Sheldon - the 'main nerd' in the sitcom The Big Bang Theory (CBS, 2007-), approaching this construction of character through both computerised and 'manual' linguistic analysis. More specifically, a computer analysis of dialogue (using concordances and keyword analysis) in series 1 of The Big Bang Theory provides insights into how Sheldon is constructed through both explicit and implicit cues in his own and others' dialogue, drawing on shared stereotypes of 'nerdiness'. This corpus linguistic analysis is complemented through manual, 'scene-based analysis' of implicit cues in dialogue between Sheldon and Penny, drawing on (im)politeness theory. Previous analyses of film and TV dialogue have shown how linguistic deviance, e.g. in terms of politeness, can construct characters as somehow 'anti-social', 'abnormal', 'rude' or 'not quite human'. The analysis of Sheldon's repertoire provides insights into how and when linguistic deviance constructs nerdiness in contrast to other social identities. This allows us to consider which factors lead to viewers' perception of characters as threateningly abnormal or funnily abnormal or somehow non-human or indeed as other social identities. The analyses also show how dialogue projects a particular social identity drawing on stereotypes and shared knowledge with the audience.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;LINGUISTICS;Linguistics;"Analyse de corpus; Analyse du discours; Anglais américain; Comportement verbal; Comédie de situation; Identité sociale; Impolitesse; Langage cinématographique; Média; Sociolinguistique; Stéréotype; Série télévisée; Télévision";http://cat.inist.fr/?aModele=afficheN&cpsidt=26108312
PASCAL/FRANCIS:13-0078108;Mascarade de la diversité. Stéréotypes et feintises dans la série InsideJamel ComedyClub : Fictions politiques;2012;QUEMENER (Nelly);FRANCE;Mots : (Paris. 1980);0243-6450;;99;;Français;<Resume>Cet article interroge la dénonciation des stéréotypes dans la série humoristique Inside Jamel Comedy Club diffusée en </Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Caricature; Diversité culturelle; Fiction; Humour; Politique; Stéréotype; Série télévisée";http://mots.revues.org/20698
PASCAL/FRANCIS:13-0078107;Des fictions « toutes proches »: une certaine identité de la France. Enjeux politiques des séries télévisées de France 3 en prime time (Louis la Brocante, Famille d'accueil, Un village français) : Fictions politiques;2012;LAFON (Benoit);FRANCE;Mots : (Paris. 1980);0243-6450;;99;;Français;<Resume>France 3, chaîne de télévision à la fois nationale et régionale, a toujours mis en discours les territoires dans un cadre national intégrateur. Ce rôle se traduit notamment parlaproduction de séries télévisées adaptées, qu'il s'agit d'étudier dans cet article en ne retenant que les épisodes à forte audience en prime time sur la période 2005-2011. Trois séries se détachent nettement: Louis la brocante, Famille d'accueil, Un village français. En fin de compte, après avoir caractérisé la politique de fiction de la chaîne en lien avec les producteurs, il s'agit d'analyser le travail de fictionnalisation de cette chaîne et ses principaux ressorts politiques.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Fiction; Politique; Série télévisée; Territoire; Télévision; France";http://mots.revues.org/20694
PASCAL/FRANCIS:13-0078105;La dimension politique de la série Plus belle la vie. Mixophilie, problématiques citoyennes et débats socioculturels dans une production télévisuelle de service public : Fictions politiques;2012;BRYON-PORTET (Céline);FRANCE;Mots : (Paris. 1980);0243-6450;;99;;Français;<Resume>Cet article montre comment la série Plus belle la vie, diffusée par France 3, introduit une dimension politique au sein d'une production divertissante en valorisant la diversité culturelle et en évoquant des problématiques sociétales. Ce faisant, cette étude de cas s'interroge sur le rôle que peuvent jouer les industries culturelles dans la diffusion de messages politiques au sein d'une chaîne télévisée investie d'une mission de service public, et sur l'influence qu'une fiction peut avoir dans la construction des représentations symboliques.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Diversité culturelle; Fiction; Politique; Représentation symbolique; Série télévisée; France";http://mots.revues.org/20696
PASCAL/FRANCIS:13-0072813;Comment les séries sont entrées dans nos vies;2012;;;Les Grands dossiers des sciences humaines;1777-375X;;26;38-53;Français;;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Feuilleton télévisé; Fiction; Internet; Morale; Réalité; Série télévisée";http://www.cairn.info/magazine-les-grands-dossiers-des-sciences-humaines-2012-3-page-17.htm
PASCAL/FRANCIS:13-0072409;Séries, jeux vidéo, bd, polars... Guide des cultures pop;2012;;;Les Grands dossiers des sciences humaines;1777-375X;;26;;Français;;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Bande dessinée; Crime; Culture populaire; Espace virtuel; Feuilleton; Film; Humour; Internet; Jeu video; Littérature; Musique populaire; Musique rock; Policier; Rap; Science fiction; Série télévisée";http://www.cairn.info/magazine-les-grands-dossiers-des-sciences-humaines-2012-3.htm
PASCAL/FRANCIS:13-0055484;LA CONSOMMATION DE SÉRIES À L'ÉPREUVE D'INTERNET: Entre pratique individuelle et activité collective : Les séries télévisées;2011;COMBES (Clement);FRANCE;Réseaux : (Issy-les-Moulineaux);0751-7971;;165;;Français;<Resume>L'article se propose d'investir l'univers des fans de séries - désignés par « sériphiles ». Fort de multiples sites, forums, blogs et plateformes d'échange, Internet constitue un poste d'observation privilégié pour apprécier la diversité des activités qu'engage aujourd'hui l'amour des séries. Le réseau des réseaux ainsi que les récentes technologies numériques viennent en effet rebattre les cartes des pratiques de consommation sérielles. Plus particulièrement, il s'est agi ici de voir comment, à la faveur de ces récentes conditions sociotechniques, les sériphiles partagent leur passion. Nous avons ainsi dégagé trois formes de partage: l'expérience de visionnage, les conversations en ligne, l'échange et la redistribution de séries. Ces trois modalités, fortement entremêlées, sous-tendent en définitive une tension entre les dimensions individuelle et collective de la consommation sérielle, que cette population de sériphiles fait apparaître de manière saillante.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Echange; Internet; Réseau social; Série télévisée";http://dx.doi.org/10.3917/res.165.0137
PASCAL/FRANCIS:13-0055483;LES POLICIERS RÉELS DEVANT LEURS HOMOLOGUES FICTIFS: FICTION IMPOSSIBLE ?: Pour une sociologie de la réception dans la sphère professionnelle : Les séries télévisées;2011;LE SAULNIER (Guillaume);FRANCE;Réseaux : (Issy-les-Moulineaux);0751-7971;;165;;Français;<Resume>Cet article consiste à penser la réception des séries policières du côté des policiers, dans une profession tournée vers le secret mais omniprésente dans la fiction. Fondé sur une enquête ethnographique de trois mois dans la police urbaine, il démontre l'attitude ambivalente des « publics policiers » devant le miroir médiatique. Dans une très large mesure, celui-ci est accusé de ternir la réputation de la police, et plus encore d'engendrer une confusion généralisée sur le statut, le pouvoir et la mission de ses membres. Cependant, quand elles entrent en résonance avec leurs expériences professionnelles, les séries policières peuvent servir de point d'ancrage pour la constitution des identités au travail.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Fiction; Policier; Réalité; Série télévisée";http://dx.doi.org/10.3917/res.165.0109
PASCAL/FRANCIS:13-0055482;LANEO-SERIE, ARENE D'ÉVALUATION CULTURELLE D'UNE SOCIETE AMERICAINE EN CRISE : Les séries télévisées;2011;PERREUR (Nathalie);FRANCE;Réseaux : (Issy-les-Moulineaux);0751-7971;;165;;Français;<Resume>Loin de se satisfaire de divertir leur public, les séries télévisées américaines contemporaines endossent aussi un rôle de révélateur social. L'article s'attache dans un premier temps à définir le contexte de production et d'émergence de la « néo-série ». Produit de la dérégulation de l'audiovisuel américain et de la crise qui s'ensuit pour les grands réseaux de télévision, une nouvelle génération de séries réalistes de qualité, ciblant un public haut de gamme, se développe sur les networks américains au début des années 1980. Ces dramas dotés d'une conscience sociale, que nous abordons plus précisément à travers l'exemple de Law & Order, The Practice et Oz, développent un discours critique sur l'état actuel de la société américaine, de sa justice et de ses institutions. Ce faisant, ces séries se constituent en arènes politiques d'interpellation de l'espace public, encourageant la discussion et le débat sur des problèmes sociaux d'actualité.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Audiovisuel; Problème social; Production; Série télévisée; Etats-Unis";http://cat.inist.fr/?aModele=afficheN&cpsidt=25654585
PASCAL/FRANCIS:13-0055480;RENDRE L'INCROYABLE QUOTIDIEN: Fabrication de la vraisemblance dans Plus belle la vie : Les séries télévisées;2011;MILLE (Muriel);FRANCE;Réseaux : (Issy-les-Moulineaux);0751-7971;;165;;Français;<Resume>Dans cet article, il s'agit de comprendre comment se fabrique la vraisemblance du récit dans un feuilleton télévisuel aux très nombreuses péripéties. Le point de départ est que ce feuilleton, malgré son caractère parfois peu réaliste, essaie malgré tout d'inscrire ses péripéties dans un régime de vraisemblance. Nous étudions alors comment les différents intervenants du processus de production visent la vraisemblance de la série, en nous demandant par quels mécanismes et décisions passe cette préoccupation. À travers l'exemple des transformations et des discussions suscitées par une péripétie, nous voudrions montrer comment l'attention au réalisme est présente dans la fabrication, mais aussi comment elle se retraduit en un ensemble de questions dramaturgiques ou techniques, en enjeux professionnels.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Réalisme; Récit; Série télévisée; Vraisemblance";http://dx.doi.org/10.3917/res.165.0053
PASCAL/FRANCIS:13-0055479;LA FIN DU RÉALISME DANS LES SÉRIES TÉLÉVISÉES: La narration à portée généralisante, un tournant télévisuel ? : Les séries télévisées;2011;POURTIER-TILLINAC (Héloïse);FRANCE;Réseaux : (Issy-les-Moulineaux);0751-7971;;165;;Français;<Resume>Si les séries télévisées ont longtemps été marquées par une recherche évidente de réalisme, on a pu voir apparaître ces cinq dernières années sur nos petits écrans des ?uvres assumant clairement leur dimension fictionnelle. Une nouvelle figure est ainsi venue donner à ces séries un caractère très littéraire: celle de la voix narratrice, introduisant et/ou concluant les épisodes. À partir de l'analyse de Sex & the City, Desperate Housewives, Medium, Grey's Anatomy, Kyle XY, Heroes et Gossip Girl, nous verrons comment ce procédé, en opposition à la recherche d'authenticité présente dans les séries de la décennie précédente, vient faire de chaque histoire un véritable récit, une métaphore.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Authenticité; Narration; Réalisme; Série télévisée";http://dx.doi.org/10.3917/res.165.0021
PASCAL/FRANCIS:13-0055477;Enquête sur l’étrange nature du héros de série télévisée : Les séries télévisées;2011;CHALVON-DEMERSAY (Sabine);FRANCE;Réseaux : (Issy-les-Moulineaux);0751-7971;;165;;Français;<Resume>Cet article cherche à définir la spécificité du héros de séries télévisées par rapport à d'autres héros (de romans, théâtres ou films) et développe l'idée que celui-ci procède d'un accrochage plus stable entre un personnage fictif et une personne humaine. Partant d'un corpus de 467 lettres et de leur dispositif d'énonciation, et constatant que celles-ci s'adressent à un être composite, à fois personnage et comédien, il suggère d'abandonner les problématiques dualistes opposant réalité et fiction, pour entreprendre la description des traits constitutifs de cette entité mixte. Ainsi, dans le mouvement général d'extension des sciences sociales à de nouveaux objets, le héros de série peut venir occuper sa place particulière au milieu des humains et des non humains.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Comédien; Enquête; Héros; Personnage; Série télévisée";http://dx.doi.org/10.3917/res.165.0181
PASCAL/FRANCIS:13-0055476;La situation instable du public de Lost sur Internet: Entre licence et contrainte : Les séries télévisées;2011;MARTIN (Martial);FRANCE;Réseaux : (Issy-les-Moulineaux);0751-7971;;165;;Français;<Resume>Dans ses rapports avec ses prolongements sur le web, une série télévisée comme Lost (2004-2010) retient l'attention par la dialectique instaurée entre la sujétion du récepteur au fil narratif et sa libération par les activités en apparence différentes mais profondément liées de l'exégèse et de la narration dérivée (fanfiction). C'est sans doute afin de réinvestir ces espaces virtuels de liberté occupés par le public que les producteurs ont eu recours à un type d'écriture web caractéristique du marketing viral, l'ARG (Alternate reality game), ainsi qu'à la diffusion de webisodes (courts segments vidéo visibles sur le web), dans le cadre d'une véritable « transmedia storytelling ».</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Audience; Média; Série télévisée; Web";http://dx.doi.org/10.3917/res.165.0165
